Code,Species,Interaction,Year,Date,Locality,Habitat,Provincias,Latitude,Longitud,Altitude (m),Collectors (leg.),sex,Intertegular_distance (mm),Est.Weight,CI_Lower,CI_Upper
ATZ241118,Bombus pascuorum,Trifolium pratense,2024,05/06/2024,Asteazu,Agrícola,Gipuzkoa,432.001.451,-20.989.976,1.761.103.727,JP;LC,Female,3.6,49.18061593166523,28.172552653961638,85.70089250769061
ATZ241119,Bombus pascuorum,Trifolium pratense,2024,05/06/2024,Asteazu,Agrícola,Gipuzkoa,432.001.451,-20.989.976,1.761.103.727,JP;LC,Female,3.09,35.11162703846947,20.067670455979773,60.41272768097186
ATZ241120,Bombus pascuorum,Trifolium pratense,2024,05/06/2024,Asteazu,Agrícola,Gipuzkoa,432.001.451,-20.989.976,1.761.103.727,JP;LC,Female,4.22,70.1203109891405,40.638219133631495,122.62619435887923
ATZ241121,Bombus pascuorum,Lotus corniculatus,2024,05/06/2024,Asteazu,Agrícola,Gipuzkoa,432.001.451,-20.989.976,1.761.103.727,JP;LC,Female,3.96,60.97561751348604,34.66286682412778,108.74728494449947
ATZ241122,Bombus pascuorum,Lotus corniculatus,2024,05/06/2024,Asteazu,Agrícola,Gipuzkoa,432.001.451,-20.989.976,1.761.103.727,JP;LC,Female,3.64,49.99608069350215,28.4214541137407,88.3056094368676
GOR241401,Bombus pascuorum,Lamium purpureum,2024,13/06/2024,"Gorbea, Peña Urratxa",Natural,Bizkaia,430.473.871,-27.966.166,1.032.36,JP;LC,Female,5.88,147.02165568893284,83.10415795938074,256.3985896800569
GOR241402,Bombus pascuorum,Flying,2024,13/06/2024,"Gorbea, Peña Urratxa",Natural,Bizkaia,430.473.871,-27.966.166,1.032.36,JP;LC,Female,5.53,128.92382447791377,75.29066722013978,225.96822085841796
GOR241403,Bombus pascuorum,Vicia pyrenaica,2024,13/06/2024,"Gorbea, Peña Urratxa",Natural,Bizkaia,430.473.871,-27.966.166,1.032.36,JP;LC,Female,5.28,116.73137051499879,67.14526869603691,206.43346303454234
GOR241404,Bombus pascuorum,Lamium purpureum,2024,14/06/2024,"Gorbea, Peña Urratxa",Natural,Bizkaia,430.473.871,-27.966.166,1.032.36,JP,Female,5.02,104.09391359107043,59.47730935877605,182.72992882833438
GOR241405,Bombus pascuorum,Lamium purpureum,2024,14/06/2024,"Gorbea, Peña Urratxa",Natural,Bizkaia,430.473.871,-27.966.166,1.032.36,JP,Female,5.88,147.5185251877134,84.34499195242688,257.58644650354574
GOR241406,Bombus pascuorum,Lamium galeobdolon,2024,16/06/2024,"Gorbea, Peña Urratxa",Natural,Bizkaia,430.473.871,-27.966.166,1.032.36,LC,Female,5.53,129.37367860115182,74.31835135848576,227.26724374637266
GOR241407,Bombus pascuorum,Lamium purpureum,2024,16/06/2024,"Gorbea, Peña Urratxa",Natural,Bizkaia,430.473.871,-27.966.166,1.032.36,LC,Female,5.87,146.33774790782655,84.12059172054414,257.31836605372536
GOR241408,Bombus pascuorum,Lamium purpureum,2024,16/06/2024,"Gorbea, Peña Urratxa",Natural,Bizkaia,430.473.871,-27.966.166,1.032.36,LC,Female,5.79,142.4533913463493,80.94077534017364,246.94590998204134
GOR241409,Bombus pascuorum,Scrophularia alpestris,2024,16/06/2024,"Gorbea, Peña Urratxa",Natural,Bizkaia,430.473.871,-27.966.166,1.032.36,LC,Female,5.57,130.9750490708788,75.11683003778965,229.7021047130078
GOR241410,Bombus pascuorum,Scrophularia alpestris,2024,16/06/2024,"Gorbea, Peña Urratxa",Natural,Bizkaia,430.473.871,-27.966.166,1.032.36,LC,Female,5.34,119.60143804104791,67.36455792100396,215.47802424185977
