Code;Species;Interaction;Year;Date;Locality;Habitat;Provincias;Latitude;Longitud;Altitude (m);Collectors (leg.);sex;Intertegular_distance (mm)
BPZEB250709;Bombus pascuorum;Lotus corniculatus;2025;11/7/25;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"LC; ET";;Female
BPZEB250710;Bombus pascuorum;Dipsacus fullonum;2025;11/7/25;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"LC; ET";;Female
BPZEB250711;Bombus pascuorum;Mentha sp.;2025;11/7/25;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"LC; ET";;Female
BPZEB250712;Bombus pascuorum;Oenothera cf. glazioviana;2025;11/7/25;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;43,1445058;-2,823972;188,333;"LC; ET";;Female
BPBIL250801;Bombus pascuorum;Buddleja davidii;2025;11/7/25;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;"LC; ET";;Female
BPBIL250802;Bombus pascuorum;Origanum vulgare;2025;11/7/25;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;"LC; ET";;Female
BPBIL250803;Bombus pascuorum;Rubus sp.;2025;11/7/25;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;"LC; ET";;Female
BPBIL250804;Bombus pascuorum;Rubus sp.;2025;11/7/25;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;"LC; ET";;Female
BPBIL250805;Bombus pascuorum;Dipsacus fullonum;2025;11/7/25;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;"LC; ET";;Male
BPBIL250806;Bombus pascuorum;Dipsacus fullonum;2025;11/7/25;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;43,2697136;-2,9168994;117,245;"LC; ET";;Female
