Code;Species;Interaction;Year;Date;Locality;Habitat;Provincias;Latitude;Longitud;Altitude (m);Collectors (leg.);sex;Intertegular_distance (mm)
ZEB250705;Bombus pascuorum;Dipsacus fullonum;2025;11/07/2025;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"LC; ET";Female;4.14
ZEB250706;Bombus pascuorum;Dipsacus fullonum;2025;11/07/2025;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"LC; ET";Female;3.52
ZEB250707;Bombus pascuorum;Rubus sp.;2025;11/07/2025;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"LC; ET";Female;4
ZEB250708;Bombus pascuorum;Meliotus albus;2025;11/07/2025;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"LC; ET";Male;3.6
ZEB250709;Bombus pascuorum;Lotus corniculatus;2025;11/07/2025;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"LC; ET";Female;3.58
ZEB250710;Bombus pascuorum;Dipsacus fullonum;2025;11/07/2025;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"LC; ET";Female;4.24
ZEB250711;Bombus pascuorum;Mentha sp.;2025;11/07/2025;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"LC; ET";Female;1.96
ZEB250712;Bombus pascuorum;Oenothera cf. glazioviana;2025;11/07/2025;Isasi Auzoa, Zeberio;Agrícola;Bizkaia;431.445.058;-2.823.972;188.333;"LC; ET";Female;3.78
BIL250801;Bombus pascuorum;Buddleja davidii;2025;11/07/2025;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;"LC; ET";Female;4.3
BIL250802;Bombus pascuorum;Origanum vulgare;2025;11/07/2025;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;"LC; ET";Female;3.68
BIL250803;Bombus pascuorum;Rubus sp.;2025;11/07/2025;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;"LC; ET";Female;4.18
BIL250804;Bombus pascuorum;Rubus sp.;2025;11/07/2025;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;"LC; ET";Female;3.12
BIL250805;Bombus pascuorum;Dipsacus fullonum;2025;11/07/2025;Vía Vieja de Lezama, Bilbao;Urbano;Bizkaia;432.697.136;-29.168.994;117.245;"LC; ET";Male;4.1
